transaction_id,customer_id,transaction_timestamp,merchant_id,merchant_name,product_category,product_name,amount,fee_amount,cashback_amount,loyalty_points,payment_method,transaction_status,device_type,location_type,currency,updated_at
TXN_20251202_044851,USER_0943,2025-12-02 01:45:24,MERCH_0247,Merchant_0246,Education,Certification Exam,5165.63,99.54,143.17,274,UPI,Successful,iOS,Suburban,INR,2025-12-02 01:45:24
TXN_20251202_044852,USER_0344,2025-12-02 17:27:45,MERCH_0059,Merchant_0058,Entertainment,IPL Match Ticket,828.38,19.83,7.01,44,UPI,Successful,iOS,Urban,INR,2025-12-02 17:27:45
TXN_20251202_044853,USER_0553,2025-12-02 12:17:50,MERCH_0154,Merchant_0153,Education,Certification Exam,5999.33,154.0,169.32,416,UPI,Successful,Android,Urban,INR,2025-12-02 12:17:50
TXN_20251202_044854,USER_0681,2025-12-02 17:08:11,MERCH_0104,Merchant_0103,Education,Workshop Pass,1700.83,38.95,2.7,86,Credit Card,Successful,Android,Urban,INR,2025-12-02 17:08:11
TXN_20251202_044855,USER_0593,2025-12-02 17:07:16,MERCH_0480,Merchant_0479,Travel,Train Ticket AC,4256.29,70.33,183.27,235,UPI,Successful,iOS,Urban,INR,2025-12-02 17:07:16
TXN_20251202_044856,USER_0779,2025-12-02 15:46:54,MERCH_0409,Merchant_0408,Travel,Train Ticket AC,839.4,18.62,28.28,79,Bank Transfer,Successful,Android,Urban,INR,2025-12-02 15:46:54
TXN_20251202_044857,USER_0680,2025-12-02 01:47:32,MERCH_0373,Merchant_0372,Food,Pizza Large,252.94,7.38,12.3,17,UPI,Successful,Web,Urban,INR,2025-12-02 01:47:32
TXN_20251202_044858,USER_0963,2025-12-02 16:28:23,MERCH_0314,Merchant_0313,Education,E-Learning Subscription,347.65,7.48,10.56,21,Debit Card,Successful,Android,Urban,INR,2025-12-02 16:28:23
TXN_20251202_044859,USER_0170,2025-12-02 14:00:55,MERCH_0091,Merchant_0090,Bills,Mobile Recharge,22090.49,462.4,428.48,1258,UPI,Successful,Android,Rural,INR,2025-12-02 14:00:55
TXN_20251202_044860,USER_0424,2025-12-02 15:48:43,MERCH_0132,Merchant_0131,Electronics,Sony WH-1000XM5,994.32,26.52,16.69,59,UPI,Successful,Android,Suburban,INR,2025-12-02 15:48:43
