transaction_id,customer_id,transaction_timestamp,merchant_id,merchant_name,product_category,product_name,amount,fee_amount,cashback_amount,loyalty_points,payment_method,transaction_status,device_type,location_type,currency,updated_at
TXN_20251130_014901,USER_0901,2025-11-30 10:16:44,MERCH_0278,Merchant_0277,Travel,Metro Card Recharge,1566.47,37.02,68.59,84,Credit Card,Successful,Android,Rural,INR,2025-11-30 10:16:44
TXN_20251130_014902,USER_0854,2025-11-30 23:26:37,MERCH_0042,Merchant_0041,Others,Pet Food,1749.95,32.08,2.08,101,UPI,Successful,Android,Suburban,INR,2025-11-30 23:26:37
TXN_20251130_014903,USER_0875,2025-11-30 14:01:13,MERCH_0064,Merchant_0063,Groceries,Tea Powder 1kg,1928.11,55.36,17.63,179,UPI,Successful,Android,Suburban,INR,2025-11-30 14:01:13
TXN_20251130_014904,USER_0776,2025-11-30 08:52:26,MERCH_0340,Merchant_0339,Bills,Loan EMI,4660.42,105.99,206.29,265,Credit Card,Successful,iOS,Urban,INR,2025-11-30 08:52:26
TXN_20251130_014905,USER_0664,2025-11-30 01:55:22,MERCH_0425,Merchant_0424,Electronics,iPhone 15,856.44,23.96,9.19,84,UPI,Successful,iOS,Suburban,INR,2025-11-30 01:55:22
TXN_20251130_014906,USER_0402,2025-11-30 18:23:46,MERCH_0240,Merchant_0239,Electronics,Samsung Galaxy S23,775.61,20.3,31.79,43,UPI,Successful,Web,Urban,INR,2025-11-30 18:23:46
TXN_20251130_014907,USER_0739,2025-11-30 04:50:19,MERCH_0010,BigBasket,Entertainment,Spotify Premium,6226.81,184.52,286.24,338,UPI,Successful,Android,Suburban,INR,2025-11-30 04:50:19
TXN_20251130_014908,USER_0996,2025-11-30 22:40:01,MERCH_0023,Reliance Digital,Food,Pizza Large,1138.37,26.82,53.35,93,Credit Card,Successful,Android,Rural,INR,2025-11-30 22:40:01
TXN_20251130_014909,USER_0367,2025-11-30 23:00:33,MERCH_0470,Merchant_0469,Groceries,Milk 2L,511.3,8.08,24.91,45,UPI,Successful,iOS,Urban,INR,2025-11-30 23:00:33
TXN_20251130_014910,USER_0607,2025-11-30 12:47:08,MERCH_0304,Merchant_0303,Travel,Cab Ride 20km,1113.06,27.53,40.05,91,UPI,Successful,Android,Urban,INR,2025-11-30 12:47:08
TXN_20251130_014911,USER_0695,2025-11-30 18:41:24,MERCH_0323,Merchant_0322,Bills,Loan EMI,1299.78,37.49,11.27,107,UPI,Successful,Android,Suburban,INR,2025-11-30 18:41:24
TXN_20251130_014912,USER_0382,2025-11-30 17:24:18,MERCH_0360,Merchant_0359,Electronics,Boat Airdopes,8560.92,238.68,326.07,543,Wallet Balance,Successful,iOS,Urban,INR,2025-11-30 17:24:18
TXN_20251130_014913,USER_0141,2025-11-30 04:32:52,MERCH_0038,Merchant_0037,Travel,Resort Package,4558.85,83.43,195.15,439,UPI,Successful,Android,Urban,INR,2025-11-30 04:32:52
TXN_20251130_014914,USER_0807,2025-11-30 05:54:04,MERCH_0017,BookMyShow,Electronics,Samsung Galaxy S23,5696.01,141.48,225.12,522,Wallet Balance,Successful,Android,Urban,INR,2025-11-30 05:54:04
TXN_20251130_014915,USER_0843,2025-11-30 02:46:51,MERCH_0410,Merchant_0409,Electronics,"Samsung 55"" TV",4105.05,99.46,164.18,353,UPI,Successful,iOS,Urban,INR,2025-11-30 02:46:51
TXN_20251130_014916,USER_0038,2025-11-30 07:08:53,MERCH_0027,TechWorld,Others,Cosmetics,4657.54,77.59,228.13,245,UPI,Successful,iOS,Urban,INR,2025-11-30 07:08:53
TXN_20251130_014917,USER_0369,2025-11-30 12:06:31,MERCH_0373,Merchant_0372,Entertainment,YouTube Premium,908.61,26.77,23.62,83,Debit Card,Successful,iOS,Urban,INR,2025-11-30 12:06:31
TXN_20251130_014918,USER_0499,2025-11-30 04:37:29,MERCH_0354,Merchant_0353,Travel,Car Rental Daily,1482.37,32.66,72.46,144,Debit Card,Successful,Web,Rural,INR,2025-11-30 04:37:29
TXN_20251130_014919,USER_0993,2025-11-30 10:34:14,MERCH_0477,Merchant_0476,Fashion,H&M T-Shirt,671.88,19.18,28.76,40,UPI,Successful,Web,Suburban,INR,2025-11-30 10:34:14
TXN_20251130_014920,USER_0547,2025-11-30 09:41:45,MERCH_0130,Merchant_0129,Health,Vitamin Supplements,1464.86,33.0,4.74,75,UPI,Successful,Android,Urban,INR,2025-11-30 09:41:45
TXN_20251130_014921,USER_0618,2025-11-30 19:25:43,MERCH_0197,Merchant_0196,Education,Tuition Fee,3583.53,74.07,173.79,332,UPI,Successful,Android,Urban,INR,2025-11-30 19:25:43
TXN_20251130_014922,USER_0927,2025-11-30 05:27:50,MERCH_0114,Merchant_0113,Fashion,Ray-Ban Sunglasses,2068.51,46.56,34.0,176,Credit Card,Successful,Android,Urban,INR,2025-11-30 05:27:50
TXN_20251130_014923,USER_0748,2025-11-30 01:19:05,MERCH_0047,Merchant_0046,Electronics,OnePlus 11,6710.85,179.1,135.02,365,UPI,Successful,Android,Urban,INR,2025-11-30 01:19:05
TXN_20251130_014924,USER_0272,2025-11-30 23:43:49,MERCH_0245,Merchant_0244,Others,Plants,577.43,10.69,4.28,55,Wallet Balance,Successful,Android,Suburban,INR,2025-11-30 23:43:49
TXN_20251130_014925,USER_0695,2025-11-30 12:27:11,MERCH_0322,Merchant_0321,Groceries,Rice 25kg,2981.67,77.61,5.16,153,Credit Card,Successful,Android,Urban,INR,2025-11-30 12:27:11
TXN_20251130_014926,USER_0348,2025-11-30 12:09:13,MERCH_0443,Merchant_0442,Electronics,iPhone 15,518.89,13.15,9.65,30,UPI,Successful,Web,Urban,INR,2025-11-30 12:09:13
TXN_20251130_014927,USER_0956,2025-11-30 03:06:00,MERCH_0349,Merchant_0348,Education,Online Course Fee,1986.59,58.1,49.29,155,UPI,Successful,Android,Urban,INR,2025-11-30 03:06:00
TXN_20251130_014928,USER_0748,2025-11-30 11:45:20,MERCH_0126,Merchant_0125,Others,Gift Card,3790.8,98.35,13.03,355,Credit Card,Successful,Android,Urban,INR,2025-11-30 11:45:20
TXN_20251130_014929,USER_0259,2025-11-30 17:35:01,MERCH_0066,Merchant_0065,Food,Burger Combo,1458.99,34.17,34.05,128,UPI,Successful,Android,Urban,INR,2025-11-30 17:35:01
TXN_20251130_014930,USER_0394,2025-11-30 03:14:44,MERCH_0303,Merchant_0302,Electronics,Boat Airdopes,3137.33,75.6,92.98,251,Bank Transfer,Successful,iOS,Urban,INR,2025-11-30 03:14:44
TXN_20251130_014931,USER_0050,2025-11-30 02:26:10,MERCH_0366,Merchant_0365,Food,Pizza Large,692.47,12.91,3.93,40,UPI,Successful,Web,Suburban,INR,2025-11-30 02:26:10
TXN_20251130_014932,USER_0889,2025-11-30 20:47:42,MERCH_0197,Merchant_0196,Groceries,Tea Powder 1kg,342.51,7.83,16.12,28,Wallet Balance,Successful,Android,Suburban,INR,2025-11-30 20:47:42
TXN_20251130_014933,USER_0441,2025-11-30 14:07:20,MERCH_0262,Merchant_0261,Entertainment,Book Novel,3155.9,73.67,117.76,177,Credit Card,Successful,iOS,Suburban,INR,2025-11-30 14:07:20
TXN_20251130_014934,USER_0283,2025-11-30 08:40:46,MERCH_0430,Merchant_0429,Groceries,Rice 25kg,10342.43,172.74,138.24,627,Debit Card,Successful,Android,Urban,INR,2025-11-30 08:40:46
TXN_20251130_014935,USER_0068,2025-11-30 06:22:44,MERCH_0446,Merchant_0445,Electronics,MacBook Air M2,667.78,19.13,4.97,64,UPI,Successful,Android,Urban,INR,2025-11-30 06:22:44
TXN_20251130_014936,USER_0693,2025-11-30 05:29:33,MERCH_0209,Merchant_0208,Food,Pizza Large,6137.63,131.55,77.77,423,Credit Card,Successful,Android,Suburban,INR,2025-11-30 05:29:33
TXN_20251130_014937,USER_0641,2025-11-30 16:53:39,MERCH_0259,Merchant_0258,Fashion,H&M T-Shirt,1888.28,38.73,13.16,165,UPI,Successful,Android,Rural,INR,2025-11-30 16:53:39
TXN_20251130_014938,USER_0622,2025-11-30 02:50:40,MERCH_0137,Merchant_0136,Groceries,Rice 25kg,475.47,11.93,18.27,29,UPI,Successful,iOS,Suburban,INR,2025-11-30 02:50:40
TXN_20251130_014939,USER_0518,2025-11-30 07:39:45,MERCH_0221,Merchant_0220,Electronics,Sony WH-1000XM5,583.18,11.67,1.92,50,Credit Card,Successful,Android,Urban,INR,2025-11-30 07:39:45
TXN_20251130_014940,USER_0006,2025-11-30 03:13:09,MERCH_0376,Merchant_0375,Travel,Resort Package,1836.81,49.24,0.7,131,UPI,Successful,Android,Rural,INR,2025-11-30 03:13:09
TXN_20251130_014941,USER_0745,2025-11-30 19:46:09,MERCH_0334,Merchant_0333,Education,Tuition Fee,1206.57,27.29,35.75,68,UPI,Successful,Android,Rural,INR,2025-11-30 19:46:09
TXN_20251130_014942,USER_0316,2025-11-30 17:04:38,MERCH_0465,Merchant_0464,Fashion,H&M T-Shirt,486.43,8.98,3.79,28,UPI,Successful,Android,Urban,INR,2025-11-30 17:04:38
TXN_20251130_014943,USER_0499,2025-11-30 02:18:19,MERCH_0041,Merchant_0040,Travel,Flight Delhi-Mumbai,332.27,5.77,5.08,19,UPI,Successful,Android,Urban,INR,2025-11-30 02:18:19
TXN_20251130_014944,USER_0828,2025-11-30 02:40:30,MERCH_0324,Merchant_0323,Education,Study Lamp,775.32,17.19,4.72,44,UPI,Successful,Android,Urban,INR,2025-11-30 02:40:30
TXN_20251130_014945,USER_0054,2025-11-30 11:54:49,MERCH_0043,Merchant_0042,Fashion,Fastrack Watch,2194.72,61.09,80.43,135,Bank Transfer,Successful,iOS,Urban,INR,2025-11-30 11:54:49
TXN_20251130_014946,USER_0736,2025-11-30 19:29:10,MERCH_0499,Merchant_0498,Food,Pizza Large,1796.51,39.58,42.98,95,Credit Card,Successful,Android,Urban,INR,2025-11-30 19:29:10
TXN_20251130_014947,USER_0809,2025-11-30 11:38:02,MERCH_0309,Merchant_0308,Fashion,H&M T-Shirt,1095.28,23.78,26.83,71,Debit Card,Successful,Android,Urban,INR,2025-11-30 11:38:02
TXN_20251130_014948,USER_0337,2025-11-30 15:39:50,MERCH_0152,Merchant_0151,Entertainment,Concert Pass,2212.52,55.63,33.11,135,UPI,Successful,Android,Urban,INR,2025-11-30 15:39:50
TXN_20251130_014949,USER_0102,2025-11-30 18:55:17,MERCH_0074,Merchant_0073,Food,Pizza Large,5115.48,118.43,82.52,304,UPI,Successful,Android,Urban,INR,2025-11-30 18:55:17
TXN_20251130_014950,USER_0604,2025-11-30 18:06:48,MERCH_0143,Merchant_0142,Electronics,Boat Airdopes,2681.49,76.83,131.21,186,UPI,Successful,Android,Suburban,INR,2025-11-30 18:06:48
TXN_20251130_014951,USER_0979,2025-11-30 10:02:11,MERCH_0092,Merchant_0091,Health,Yoga Mat,1601.49,41.12,17.98,111,Credit Card,Successful,Android,Urban,INR,2025-11-30 10:02:11
TXN_20251130_014952,USER_0527,2025-11-30 20:23:07,MERCH_0199,Merchant_0198,Travel,Cab Ride 20km,4573.67,71.98,116.09,236,UPI,Successful,Android,Rural,INR,2025-11-30 20:23:07
TXN_20251130_014953,USER_0665,2025-11-30 15:59:38,MERCH_0198,Merchant_0197,Food,Pizza Large,692.39,18.71,6.72,47,UPI,Successful,Android,Urban,INR,2025-11-30 15:59:38
TXN_20251130_014954,USER_0779,2025-11-30 03:28:03,MERCH_0147,Merchant_0146,Fashion,H&M T-Shirt,1443.87,28.16,44.17,87,Credit Card,Successful,Android,Urban,INR,2025-11-30 03:28:03
TXN_20251130_014955,USER_0192,2025-11-30 17:47:13,MERCH_0497,Merchant_0496,Food,Burger Combo,1478.69,23.11,43.82,92,Credit Card,Successful,iOS,Urban,INR,2025-11-30 17:47:13
TXN_20251130_014956,USER_0022,2025-11-30 07:48:14,MERCH_0015,Uber India,Travel,Flight Delhi-Mumbai,524.82,12.37,15.92,47,UPI,Successful,Android,Urban,INR,2025-11-30 07:48:14
TXN_20251130_014957,USER_0220,2025-11-30 01:22:51,MERCH_0051,Merchant_0050,Health,Protein Powder 1kg,1188.12,20.98,36.54,71,UPI,Successful,Android,Urban,INR,2025-11-30 01:22:51
TXN_20251130_014958,USER_0262,2025-11-30 15:31:16,MERCH_0469,Merchant_0468,Entertainment,Book Novel,227.02,4.83,2.42,11,Wallet Balance,Successful,Android,Urban,INR,2025-11-30 15:31:16
TXN_20251130_014959,USER_0397,2025-11-30 11:22:38,MERCH_0309,Merchant_0308,Food,Masala Dosa,12236.49,358.66,0.0,0,Debit Card,Failed,iOS,Urban,INR,2025-11-30 11:22:38
TXN_20251130_014960,USER_0129,2025-11-30 05:13:30,MERCH_0373,Merchant_0372,Fashion,Ray-Ban Sunglasses,708.1,13.72,18.32,45,Debit Card,Successful,Android,Suburban,INR,2025-11-30 05:13:30
TXN_20251130_014961,USER_0634,2025-11-30 11:01:35,MERCH_0223,Merchant_0222,Travel,Train Ticket AC,8831.8,192.72,358.5,524,UPI,Successful,iOS,Urban,INR,2025-11-30 11:01:35
